Stage,Rows,Columns,Missing_Values,Dtype_int64,Dtype_float64,Outliers_SI,Outliers_IC50_mM,Outliers_CC50_mM,Outliers_log_ic50,Outliers_log_cc50,Outliers_log_si
before,1001,214,36,107,107,125,,,,,
after,1001,113,0,46,67,0,0.0,0.0,0.0,18.0,0.0
