Model,Accuracy,F1,Precision,Recall,ROC_AUC,PR_AUC
RF,0.731,0.74,0.72,0.762,0.777,0.732
XGB,0.706,0.715,0.698,0.733,0.76,0.716
LGB,0.746,0.754,0.736,0.772,0.776,0.713
GB,0.726,0.732,0.721,0.743,0.762,0.737
LR,0.667,0.676,0.66,0.693,0.736,0.727
Voting,0.726,0.739,0.709,0.772,0.783,0.741
