Model,MSE,R2,MAE
RF,0.883,0.261,0.757
XGB,0.962,0.195,0.789
LGB,0.911,0.238,0.762
GB,0.932,0.22,0.79
LR,1.13,0.055,0.869
Voting,0.926,0.226,0.749
